#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
carbon_monoxide                                   ([no block])                                                                     = Carbon Monoxide
hypochlorous_acid                                 ([no block])                                                                     = Hypochlorous Acid
ammonia                                           ([no block])                                                                     = Ammonia
hydrofluoric_acid                                 ([no block])                                                                     = Hydrofluoric Acid
nitric_oxide                                      ([no block])                                                                     = Nitric Oxide
iron_iii_chloride                                 ([no block])                                                                     = Iron III Chloride
uranium_hexafluoride                              ([no block])                                                                     = Uranium Hexafluoride
enriched_uranium_hexafluoride                     ([no block])                                                                     = Enriched Uranium Hexafluoride
depleted_uranium_hexafluoride                     ([no block])                                                                     = Depleted Uranium Hexafluoride
nitrous_oxide                                     ([no block])                                                                     = Nitrous Oxide
hydrochloric_acid                                 ([no block])                                                                     = Hydrochloric Acid
distilled_water                                   ([no block])                                                                     = Distilled Water
sodium_potassium                                  ([no block])                                                                     = Sodium Potassium
manganese_phosphide                               ([no block])                                                                     = Manganese Phosphide
magnesium_diboride                                ([no block])                                                                     = Magnesium Diboride
mercury_barium_calcium_cuprate                    ([no block])                                                                     = Mercury Barium Calcium Cuprate
uranium_triplatinum                               ([no block])                                                                     = Uranium Triplatinum
samarium_iron_arsenic_oxide                       ([no block])                                                                     = Samarium Iron Arsenic Oxide
indium_tin_barium_titanium_cuprate                ([no block])                                                                     = Indium Tin Barium Titanium Cuprate
uranium_rhodium_dinaquadide                       ([no block])                                                                     = Uranium Rhodium Dinaquadide
enriched_naquadah_trinium_europium_duranide       ([no block])                                                                     = Enriched Naquadah Trinium Europium Duranide
ruthenium_trinium_americium_neutronate            ([no block])                                                                     = Ruthenium Trinium Americium Neutronate
rhodium_sulfate                                   ([no block])                                                                     = Rhodium Sulfate
fluoroantimonic_acid                              ([no block])                                                                     = Fluoroantimonic Acid
silicone_rubber                                   ([no block])                                                                     = Silicone Rubber
nitrobenzene                                      ([no block])                                                                     = Nitrobenzene
styrene_butadiene_rubber                          ([no block])                                                                     = Styrene-Butadiene Rubber
polyvinyl_acetate                                 ([no block])                                                                     = Polyvinyl Acetate
reinforced_epoxy_resin                            ([no block])                                                                     = Fiber-Reinforced Epoxy Resin
polyvinyl_chloride                                ([no block])                                                                     = Polyvinyl Chloride (PVC)
polyphenylene_sulfide                             ([no block])                                                                     = Polyphenylene Sulfide
glyceryl_trinitrate                               ([no block])                                                                     = Glyceryl Trinitrate
polybenzimidazole                                 ([no block])                                                                     = Polybenzimidazole (PBI)
plastic                                           ([no block])                                                                     = Polyethylene (PE)
epoxy                                             ([no block])                                                                     = Epoxy Resin
polycaprolactam                                   ([no block])                                                                     = Polycaprolactam
polytetrafluoroethylene                           ([no block])                                                                     = Polytetrafluoroethylene (PTFE)
epichlorohydrin                                   ([no block])                                                                     = Epichlorohydrin
monochloramine                                    ([no block])                                                                     = Monochloramine
chloroform                                        ([no block])                                                                     = Chloroform
cumene                                            ([no block])                                                                     = Cumene
tetrafluoroethylene                               ([no block])                                                                     = Tetrafluoroethylene
chloromethane                                     ([no block])                                                                     = Chloromethane
allyl_chloride                                    ([no block])                                                                     = Allyl Chloride
isoprene                                          ([no block])                                                                     = Isoprene
propane                                           ([no block])                                                                     = Propane
propene                                           ([no block])                                                                     = Propene
ethane                                            (galaxyspace:block_ethane)                                                       = Ethane
butene                                            ([no block])                                                                     = Butene
butane                                            ([no block])                                                                     = Butane
dissolved_calcium_acetate                         ([no block])                                                                     = Dissolved Calcium Acetate
vinyl_acetate                                     ([no block])                                                                     = Vinyl Acetate
methyl_acetate                                    ([no block])                                                                     = Methyl Acetate
ethenone                                          ([no block])                                                                     = Ethenone
tetranitromethane                                 ([no block])                                                                     = Tetranitromethane
dimethylamine                                     ([no block])                                                                     = Dimethylamine
dimethylhydrazine                                 ([no block])                                                                     = 1,1-Dimethylhydrazine
dinitrogen_tetroxide                              ([no block])                                                                     = Dinitrogen Tetroxide
dimethyldichlorosilane                            ([no block])                                                                     = Dimethyldichlorosilane
styrene                                           ([no block])                                                                     = Styrene
butadiene                                         ([no block])                                                                     = Butadiene
dichlorobenzene                                   ([no block])                                                                     = Dichlorobenzene
acetic_acid                                       ([no block])                                                                     = Acetic Acid
phenol                                            ([no block])                                                                     = Phenol
bisphenol_a                                       ([no block])                                                                     = Bisphenol A
vinyl_chloride                                    ([no block])                                                                     = Vinyl Chloride
ethylene                                          ([no block])                                                                     = Ethylene
benzene                                           ([no block])                                                                     = Benzene
acetone                                           ([no block])                                                                     = Acetone
glycerol                                          ([no block])                                                                     = Glycerol
methanol                                          ([no block])                                                                     = Methanol
ethanol                                           (immersiveengineering:fluidethanol)                                              = Ethanol
toluene                                           ([no block])                                                                     = Toluene
diphenyl_isophthalate                             ([no block])                                                                     = Diphenyl Isophthalate
phthalic_acid                                     (gregtech:fluid.phthalic_acid)                                                   = Phthalic Acid
dimethylbenzene                                   ([no block])                                                                     = Dimethylbenzene
diaminobenzidine                                  ([no block])                                                                     = 3,3-Diaminobenzidine
dichlorobenzidine                                 ([no block])                                                                     = 3,3-Dichlorobenzidine
nitrochlorobenzene                                ([no block])                                                                     = 2-Nitrochlorobenzene
chlorobenzene                                     ([no block])                                                                     = Chlorobenzene
octane                                            ([no block])                                                                     = Octane
ethyl_tertbutyl_ether                             ([no block])                                                                     = Ethyl Tert-Butyl Ether
ethylbenzene                                      ([no block])                                                                     = Ethylbenzene
naphthalene                                       ([no block])                                                                     = Naphthalene
rubber                                            ([no block])                                                                     = Rubber
wood_gas                                          ([no block])                                                                     = Wood Gas
wood_vinegar                                      ([no block])                                                                     = Wood Vinegar
wood_tar                                          ([no block])                                                                     = Wood Tar
charcoal_byproducts                               ([no block])                                                                     = Charcoal Byproducts
biomass                                           ([no block])                                                                     = Biomass
bio_diesel                                        ([no block])                                                                     = Bio Diesel
fermented_biomass                                 ([no block])                                                                     = Fermented Biomass
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = Rocket Fuel
glue                                              ([no block])                                                                     = Glue
lubricant                                         (immersivepetroleum:fluid_lubricant)                                             = Lubricant
mc_guffium239                                     ([no block])                                                                     = Mc Guffium 239
indium_concentrate                                ([no block])                                                                     = Indium Concentrate
drilling_fluid                                    ([no block])                                                                     = Drilling Fluid
construction_foam                                 ([no block])                                                                     = Construction Foam
sulfuric_heavy_fuel                               ([no block])                                                                     = Sulfuric Heavy Fuel
heavy_fuel                                        ([no block])                                                                     = Heavy Fuel
lightly_hydrocracked_heavy_fuel                   ([no block])                                                                     = Lightly Hydro-Cracked Heavy Fuel
severely_hydrocracked_heavy_fuel                  ([no block])                                                                     = Severely Hydro-Cracked Heavy Fuel
lightly_steamcracked_heavy_fuel                   ([no block])                                                                     = Lightly Steam-Cracked Heavy Fuel
severely_steamcracked_heavy_fuel                  ([no block])                                                                     = Severely Steam-Cracked Heavy Fuel
sulfuric_light_fuel                               ([no block])                                                                     = Sulfuric Light Fuel
light_fuel                                        ([no block])                                                                     = Light Fuel
lightly_hydrocracked_light_fuel                   ([no block])                                                                     = Lightly Hydro-Cracked Light Fuel
severely_hydrocracked_light_fuel                  ([no block])                                                                     = Severely Hydro-Cracked Light Fuel
lightly_steamcracked_light_fuel                   ([no block])                                                                     = Lightly Steam-Cracked Light Fuel
severely_steamcracked_light_fuel                  ([no block])                                                                     = Severely Steam-Cracked Light Fuel
sulfuric_naphtha                                  ([no block])                                                                     = Sulfuric Naphtha
naphtha                                           ([no block])                                                                     = Naphtha
lightly_hydrocracked_naphtha                      ([no block])                                                                     = Lightly Hydro-Cracked Naphtha
severely_hydrocracked_naphtha                     ([no block])                                                                     = Severely Hydro-Cracked Naphtha
lightly_steamcracked_naphtha                      ([no block])                                                                     = Lightly Steam-Cracked Naphtha
severely_steamcracked_naphtha                     ([no block])                                                                     = Severely Steam-Cracked Naphtha
sulfuric_gas                                      ([no block])                                                                     = Sulfuric Gas
refinery_gas                                      ([no block])                                                                     = Refinery Gas
lightly_hydrocracked_gas                          ([no block])                                                                     = Lightly Hydro-Cracked Refinery Gas
severely_hydrocracked_gas                         ([no block])                                                                     = Severely Hydro-Cracked Refinery Gas
lightly_steamcracked_gas                          ([no block])                                                                     = Lightly Steam-Cracked Refinery Gas
severely_steamcracked_gas                         ([no block])                                                                     = Severely Steam-Cracked Refinery Gas
hydrocracked_ethane                               ([no block])                                                                     = Hydro-Cracked Ethane
hydrocracked_ethylene                             ([no block])                                                                     = Hydro-Cracked Ethylene
hydrocracked_propene                              ([no block])                                                                     = Hydro-Cracked Propene
hydrocracked_propane                              ([no block])                                                                     = Hydro-Cracked Propane
hydrocracked_butane                               ([no block])                                                                     = Hydro-Cracked Butane
hydrocracked_butene                               ([no block])                                                                     = Hydro-Cracked Butene
hydrocracked_butadiene                            ([no block])                                                                     = Hydro-Cracked Butadiene
steamcracked_ethane                               ([no block])                                                                     = Steam-Cracked Ethane
steamcracked_ethylene                             ([no block])                                                                     = Steam-Cracked Ethylene
steamcracked_propene                              ([no block])                                                                     = Steam-Cracked Propene
steamcracked_propane                              ([no block])                                                                     = Steam-Cracked Propane
steamcracked_butane                               ([no block])                                                                     = Steam-Cracked Butane
steamcracked_butene                               ([no block])                                                                     = Steam-Cracked Butene
steamcracked_butadiene                            ([no block])                                                                     = Steam-Cracked Butadiene
lpg                                               ([no block])                                                                     = LPG
raw_growth_medium                                 ([no block])                                                                     = Raw Growth Medium
sterilized_growth_medium                          ([no block])                                                                     = Sterilized Growth Medium
oil_heavy                                         (gregtech:fluid.oil_heavy)                                                       = Heavy Oil
oil_medium                                        (gregtech:fluid.oil_medium)                                                      = Raw Oil
oil_light                                         (gregtech:fluid.oil_light)                                                       = Light Oil
natural_gas                                       (gregtech:fluid.natural_gas)                                                     = Natural Gas
bacteria                                          ([no block])                                                                     = Bacteria
bacterial_sludge                                  ([no block])                                                                     = Bacterial Sludge
enriched_bacterial_sludge                         ([no block])                                                                     = Enriched Bacterial Sludge
mutagen                                           ([no block])                                                                     = Mutagen
gelatin_mixture                                   ([no block])                                                                     = Gelatin Mixture
raw_gasoline                                      ([no block])                                                                     = Raw Gasoline
gasoline                                          (immersivepetroleum:fluid_gasoline)                                              = Gasoline
gasoline_premium                                  ([no block])                                                                     = High Octane Gasoline
coal_gas                                          ([no block])                                                                     = Coal Gas
coal_tar                                          ([no block])                                                                     = Coal Tar
nitro_fuel                                        ([no block])                                                                     = Cetane-Boosted Diesel
milk                                              ([no block])                                                                     = Milk
fish_oil                                          ([no block])                                                                     = Fish Oil
ruby_slurry                                       ([no block])                                                                     = Ruby Slurry
sapphire_slurry                                   ([no block])                                                                     = Sapphire Slurry
green_sapphire_slurry                             ([no block])                                                                     = Green Sapphire Slurry
dye_black                                         ([no block])                                                                     = Chemical Black Dye
dye_red                                           ([no block])                                                                     = Chemical Red Dye
dye_green                                         ([no block])                                                                     = Chemical Green Dye
dye_brown                                         ([no block])                                                                     = Chemical Brown Dye
dye_blue                                          ([no block])                                                                     = Chemical Blue Dye
dye_purple                                        ([no block])                                                                     = Chemical Purple Dye
dye_cyan                                          ([no block])                                                                     = Chemical Cyan Dye
dye_light_gray                                    ([no block])                                                                     = Chemical Light Gray Dye
dye_gray                                          ([no block])                                                                     = Chemical Gray Dye
dye_pink                                          ([no block])                                                                     = Chemical Pink Dye
dye_lime                                          ([no block])                                                                     = Chemical Lime Dye
dye_yellow                                        ([no block])                                                                     = Chemical Yellow Dye
dye_light_blue                                    ([no block])                                                                     = Chemical Light Blue Dye
dye_magenta                                       ([no block])                                                                     = Chemical Magenta Dye
dye_orange                                        ([no block])                                                                     = Chemical Orange Dye
dye_white                                         ([no block])                                                                     = Chemical White Dye
impure_enriched_naquadah_solution                 ([no block])                                                                     = Impure Enriched Naquadah Solution
enriched_naquadah_solution                        ([no block])                                                                     = Enriched Naquadah Solution
acidic_enriched_naquadah_solution                 ([no block])                                                                     = Acidic Enriched Naquadah Solution
enriched_naquadah_waste                           ([no block])                                                                     = Enriched Naquadah Waste
impure_naquadria_solution                         ([no block])                                                                     = Impure Naquadria Solution
naquadria_solution                                ([no block])                                                                     = Naquadria Solution
acidic_naquadria_solution                         ([no block])                                                                     = Acidic Naquadria Solution
naquadria_waste                                   ([no block])                                                                     = Naquadria Waste
glass                                             ([no block])                                                                     = Glass
salt_water                                        ([no block])                                                                     = Salt Water
blaze                                             ([no block])                                                                     = Blaze
black_steel                                       ([no block])                                                                     = Black Steel
damascus_steel                                    ([no block])                                                                     = Damascus Steel
tungsten_steel                                    ([no block])                                                                     = Tungstensteel
cobalt_brass                                      ([no block])                                                                     = Cobalt Brass
concrete                                          (immersiveengineering:fluidconcrete)                                             = Concrete
vanadium_steel                                    ([no block])                                                                     = Vanadiumsteel
potin                                             ([no block])                                                                     = Potin
borosilicate_glass                                ([no block])                                                                     = Borosilicate Glass
naquadah_alloy                                    ([no block])                                                                     = Naquadah Alloy
sulfuric_nickel_solution                          ([no block])                                                                     = Sulfuric Nickel Solution
sulfuric_copper_solution                          ([no block])                                                                     = Sulfuric Copper Solution
lead_zinc_solution                                ([no block])                                                                     = Lead-Zinc Solution
nitration_mixture                                 ([no block])                                                                     = Nitration Mixture
diluted_sulfuric_acid                             ([no block])                                                                     = Diluted Sulfuric Acid
diluted_hydrochloric_acid                         ([no block])                                                                     = Diluted Hydrochloric Acid
air                                               ([no block])                                                                     = Air
liquid_air                                        ([no block])                                                                     = Liquid Air
nether_air                                        ([no block])                                                                     = Nether Air
liquid_nether_air                                 ([no block])                                                                     = Liquid Nether Air
ender_air                                         ([no block])                                                                     = Ender Air
liquid_ender_air                                  ([no block])                                                                     = Liquid Ender Air
aqua_regia                                        ([no block])                                                                     = Aqua Regia
acidic_osmium_solution                            ([no block])                                                                     = Acidic Osmium Solution
rhodium_plated_palladium                          ([no block])                                                                     = Rhodium Plated Palladium
red_steel                                         ([no block])                                                                     = Red Steel
blue_steel                                        ([no block])                                                                     = Blue Steel
hssg                                              ([no block])                                                                     = HSS-G
red_alloy                                         ([no block])                                                                     = Red Alloy
hsse                                              ([no block])                                                                     = HSS-E
hsss                                              ([no block])                                                                     = HSS-S
